id	confirmed	deaths	recovered	date	url	pays
512	0	0	0	2020-02-03	ATG	Antigua and Barbuda
513	1	0	0	2020-03-20	ATG	Antigua and Barbuda
514	0	0	0	2020-02-15	ATG	Antigua and Barbuda
515	0	0	0	2020-03-07	ATG	Antigua and Barbuda
516	24	3	11	2020-04-24	ATG	Antigua and Barbuda
517	1	0	0	2020-03-13	ATG	Antigua and Barbuda
518	15	0	0	2020-04-06	ATG	Antigua and Barbuda
519	23	2	3	2020-04-15	ATG	Antigua and Barbuda
520	0	0	0	2020-02-20	ATG	Antigua and Barbuda
521	23	3	3	2020-04-17	ATG	Antigua and Barbuda
522	0	0	0	2020-01-28	ATG	Antigua and Barbuda
523	1	0	0	2020-03-21	ATG	Antigua and Barbuda
524	7	0	0	2020-03-30	ATG	Antigua and Barbuda
525	0	0	0	2020-02-02	ATG	Antigua and Barbuda
526	0	0	0	2020-01-25	ATG	Antigua and Barbuda
527	0	0	0	2020-03-06	ATG	Antigua and Barbuda
528	19	2	0	2020-04-10	ATG	Antigua and Barbuda
529	0	0	0	2020-01-22	ATG	Antigua and Barbuda
530	0	0	0	2020-02-17	ATG	Antigua and Barbuda
531	21	2	0	2020-04-12	ATG	Antigua and Barbuda
532	7	0	0	2020-03-26	ATG	Antigua and Barbuda
533	15	0	0	2020-04-05	ATG	Antigua and Barbuda
534	0	0	0	2020-03-02	ATG	Antigua and Barbuda
535	0	0	0	2020-02-18	ATG	Antigua and Barbuda
536	24	3	10	2020-04-23	ATG	Antigua and Barbuda
537	0	0	0	2020-01-31	ATG	Antigua and Barbuda
538	7	0	0	2020-03-31	ATG	Antigua and Barbuda
539	0	0	0	2020-02-01	ATG	Antigua and Barbuda
540	0	0	0	2020-02-21	ATG	Antigua and Barbuda
541	1	0	0	2020-03-18	ATG	Antigua and Barbuda
542	1	0	0	2020-03-19	ATG	Antigua and Barbuda
543	23	3	3	2020-04-18	ATG	Antigua and Barbuda
544	15	0	0	2020-04-04	ATG	Antigua and Barbuda
545	19	2	0	2020-04-09	ATG	Antigua and Barbuda
546	0	0	0	2020-03-01	ATG	Antigua and Barbuda
547	23	3	3	2020-04-19	ATG	Antigua and Barbuda
548	0	0	0	2020-02-05	ATG	Antigua and Barbuda
549	0	0	0	2020-02-09	ATG	Antigua and Barbuda
550	1	0	0	2020-03-16	ATG	Antigua and Barbuda
551	0	0	0	2020-02-07	ATG	Antigua and Barbuda
552	23	3	3	2020-04-16	ATG	Antigua and Barbuda
553	23	2	0	2020-04-13	ATG	Antigua and Barbuda
554	0	0	0	2020-02-28	ATG	Antigua and Barbuda
555	7	0	0	2020-03-29	ATG	Antigua and Barbuda
556	0	0	0	2020-02-13	ATG	Antigua and Barbuda
557	0	0	0	2020-03-03	ATG	Antigua and Barbuda
558	0	0	0	2020-02-25	ATG	Antigua and Barbuda
559	3	0	0	2020-03-24	ATG	Antigua and Barbuda
